191122_Spn1_Nap1dBH_abs (7A280).X,"191122_Spn1_Nap1dBH_abs (7A280).Y""191122_Spn1_Nap1dBH_abs (7A280).C",191122_Spn1_Nap1dBH_abs (7B280).X,"191122_Spn1_Nap1dBH_abs (7B280).Y""191122_Spn1_Nap1dBH_abs (7B280).C",191122_Spn1_Nap1dBH_abs (6B280).X,"191122_Spn1_Nap1dBH_abs (6B280).Y""191122_Spn1_Nap1dBH_abs (6B280).C",,,
2.16242,5.6,126.38,4.83659,5.6,126.38,4.7756,5.6,108.07
2.2085,6.2,139.92,4.84176,6.2,139.92,5.05993,6.2,119.65
2.26296,6.8,153.46,4.84167,6.8,153.46,5.10191,6.8,131.23
2.29091,7.4,167,4.84597,7.4,167,5.21873,7.4,142.81
2.31225,8,180.54,4.85038,8,180.54,5.23872,8,154.39
2.33354,8.6,194.08,4.85222,8.6,194.08,5.29653,8.6,165.97
2.35282,9.2,207.63,4.85181,9.2,207.63,5.31476,9.2,177.55
2.37829,9.8,221.17,4.85121,9.8,221.17,5.33626,9.8,189.13
2.38844,10.4,234.71,4.85191,10.4,234.71,5.36387,10.4,200.71
2.40279,11,248.25,4.8432,11,248.25,5.35373,11,212.29
2.41279,11.6,261.79,4.84402,11.6,261.79,5.37167,11.6,223.87
2.42278,12.2,275.33,4.8442,12.2,275.33,5.39089,12.2,235.45
2.43647,12.8,288.87,4.85416,12.8,288.87,5.40448,12.8,247.03
2.45185,13.4,302.41,4.85412,13.4,302.41,5.40681,13.4,258.61
2.45467,14,315.95,4.84374,14,315.95,5.41817,14,270.19
2.46296,14.6,329.49,4.84374,14.6,329.49,5.44353,14.6,281.77
2.46473,15.2,343.03,4.84359,15.2,343.03,5.46202,15.2,293.34
2.47364,15.8,356.57,4.85355,15.8,356.57,5.47933,15.8,304.92
2.48127,16.4,370.12,4.85318,16.4,370.12,5.48893,16.4,316.5
2.4924,17,383.66,4.85295,17,383.66,5.49286,17,328.08
2.50517,17.6,397.2,4.85295,17.6,397.2,5.50237,17.6,339.66
2.49373,18.2,410.74,4.85285,18.2,410.74,5.50026,18.2,351.24
2.51024,18.8,424.28,4.85248,18.8,424.28,5.50898,18.8,362.82
2.51834,19.4,437.82,4.85234,19.4,437.82,5.52372,19.4,374.4
2.52225,20,451.36,4.85229,20,451.36,5.53352,20,385.98
2.51943,20.6,464.9,4.8521,20.6,464.9,5.537,20.6,397.56
2.51881,21.2,478.44,4.85172,21.2,478.44,5.54547,21.2,409.14
2.52413,21.8,491.98,4.85134,21.8,491.98,5.56098,21.8,420.72
2.53292,22.4,505.52,4.85125,22.4,505.52,5.58542,22.4,432.3
2.54223,23,519.06,4.85106,23,519.06,5.59646,23,443.88
2.54861,23.6,532.6,4.85071,23.6,532.6,5.60037,23.6,455.46
2.55364,24.2,546.15,4.85041,24.2,546.15,5.60148,24.2,467.04
2.56303,24.8,559.69,4.85016,24.8,559.69,5.60798,24.8,478.62
2.5668,25.4,573.23,4.85005,25.4,573.23,5.61849,25.4,490.19
2.56073,26,586.77,4.84982,26,586.77,5.62707,26,501.77
2.56718,26.6,600.31,4.84958,26.6,600.31,5.63349,26.6,513.35
2.56532,27.2,613.85,4.83934,27.2,613.85,5.63879,27.2,524.93
2.57231,27.8,627.39,4.84912,27.8,627.39,5.65787,27.8,536.51
2.57509,28.4,640.93,4.84896,28.4,640.93,5.66301,28.4,548.09
2.5789,29,654.47,4.84879,29,654.47,5.66681,29,559.67
2.58249,29.6,668.01,4.85858,29.6,668.01,5.66727,29.6,571.25
2.58641,30.2,681.55,4.85837,30.2,681.55,5.66436,30.2,582.83
2.58663,30.8,695.09,4.84816,30.8,695.09,5.65832,30.8,594.41
2.58993,31.4,708.64,4.848,31.4,708.64,5.64874,31.4,605.99
2.5919,32,722.18,4.84787,32,722.18,5.63809,32,617.57
2.59452,32.6,735.72,4.84774,32.6,735.72,5.62851,32.6,629.15
2.59636,33.2,749.26,4.84756,33.2,749.26,5.61954,33.2,640.73
2.59746,33.8,762.8,4.84741,33.8,762.8,5.61149,33.8,652.31
2.60115,34.4,776.34,4.84725,34.4,776.34,5.60751,34.4,663.89
2.60581,35,789.88,4.85716,35,789.88,5.60951,35,675.47
